state,stage,year,lat,lng,population,students,schools,students_per_school,students_per_1000_pop
Pulau Pinang,secondary,2021,5.398077000906034,100.35874004820894,2067251,98608,129,764.4031007751938,47.70006157936312
Pulau Pinang,secondary,2022,5.398077000906034,100.35874004820894,2067251,98578,128,770.140625,47.68554955348915
Sabah,primary,2017,5.616388014832056,117.10268181713191,1463317,273837,1074,254.96927374301677,187.1344349857208
Sabah,primary,2018,5.616388014832056,117.10268181713191,1463317,277583,1074,258.45716945996276,189.69437244288147
Sabah,primary,2019,5.616388014832056,117.10268181713191,1463317,284266,1074,264.67970204841714,194.26139380599008
Sabah,primary,2020,5.616388014832056,117.10268181713191,1463317,289528,1075,269.32837209302323,197.85733371511435
Sabah,primary,2021,5.616388014832056,117.10268181713191,1463317,292188,1075,271.8027906976744,199.67512165853333
Sabah,primary,2022,5.616388014832056,117.10268181713191,1463317,292541,1075,272.13116279069766,199.9163544194457
Sabah,secondary,2017,5.616388014832056,117.10268181713191,1463317,210268,219,960.1278538812785,143.69272003263816
Sabah,secondary,2018,5.616388014832056,117.10268181713191,1463317,190742,222,859.1981981981982,130.3490631216613
Sabah,secondary,2019,5.616388014832056,117.10268181713191,1463317,189409,222,853.1936936936937,129.43811901317352
Sabah,secondary,2020,5.616388014832056,117.10268181713191,1463317,190600,222,858.5585585585585,130.25202331415545
Sabah,secondary,2021,5.616388014832056,117.10268181713191,1463317,198935,221,900.158371040724,135.94798666317686
Sabah,secondary,2022,5.616388014832056,117.10268181713191,1463317,204780,221,926.606334841629,139.9423364862159
Sarawak,primary,2017,2.5317311206679314,111.9514243202405,1023818,245423,1264,194.1637658227848,239.71350376727113
Sarawak,primary,2018,2.5317311206679314,111.9514243202405,1023818,244941,1265,193.6292490118577,239.24271696727348
Sarawak,primary,2019,2.5317311206679314,111.9514243202405,1023818,244813,1265,193.5280632411067,239.1176947465272
Sarawak,primary,2020,2.5317311206679314,111.9514243202405,1023818,242258,1265,191.50830039525692,236.6221340120998
Sarawak,primary,2021,2.5317311206679314,111.9514243202405,1023818,239373,1265,189.22766798418974,233.8042503648109
Sarawak,primary,2022,2.5317311206679314,111.9514243202405,1023818,235319,1265,186.02292490118577,229.8445622171128
Sarawak,secondary,2017,2.5317311206679314,111.9514243202405,1023818,202744,190,1067.0736842105264,198.02738377328782
Sarawak,secondary,2018,2.5317311206679314,111.9514243202405,1023818,185852,192,967.9791666666666,181.52835757917913
Sarawak,secondary,2019,2.5317311206679314,111.9514243202405,1023818,183866,193,952.6735751295337,179.58855968541283
Sarawak,secondary,2020,2.5317311206679314,111.9514243202405,1023818,184190,193,954.3523316062176,179.9050221816768
Sarawak,secondary,2021,2.5317311206679314,111.9514243202405,1023818,188147,193,974.8549222797927,183.76996692771567
Sarawak,secondary,2022,2.5317311206679314,111.9514243202405,1023818,189658,193,982.6839378238342,185.24581517418133
Selangor,primary,2017,3.05642063791988,101.55404567223596,2337096,512717,659,778.0227617602428,219.38208785604016
Selangor,primary,2018,3.05642063791988,101.55404567223596,2337096,518388,661,784.2481089258699,221.80860349767403
Selangor,primary,2019,3.05642063791988,101.55404567223596,2337096,529031,661,800.3494704992436,226.36254565494957
Selangor,primary,2020,3.05642063791988,101.55404567223596,2337096,535486,662,808.8912386706949,229.12452034490667
Selangor,primary,2021,3.05642063791988,101.55404567223596,2337096,545086,663,822.1508295625943,233.23218216110934
Selangor,primary,2022,3.05642063791988,101.55404567223596,2337096,548622,661,829.9878971255673,234.74517093007734
Selangor,secondary,2017,3.05642063791988,101.55404567223596,2337096,375957,277,1357.2454873646209,160.86502223271958
Selangor,secondary,2018,3.05642063791988,101.55404567223596,2337096,353931,278,1273.13309352518,151.44050565316957
Selangor,secondary,2019,3.05642063791988,101.55404567223596,2337096,354162,278,1273.9640287769785,151.53934626562196
Selangor,secondary,2020,3.05642063791988,101.55404567223596,2337096,356024,278,1280.6618705035971,152.33606150538958
Selangor,secondary,2021,3.05642063791988,101.55404567223596,2337096,363704,278,1308.2877697841727,155.62219095835172
Selangor,secondary,2022,3.05642063791988,101.55404567223596,2337096,367664,279,1317.7921146953406,157.31660145753534
Terengganu,primary,2017,5.06155940675606,103.21224081840644,337534,124850,352,354.6875,369.88866306801685
Terengganu,primary,2018,5.06155940675606,103.21224081840644,337534,126465,352,359.2755681818182,374.6733662386604
Terengganu,primary,2019,5.06155940675606,103.21224081840644,337534,128551,352,365.20170454545456,380.85348438972073
Terengganu,primary,2020,5.06155940675606,103.21224081840644,337534,130208,352,369.90909090909093,385.76261946944607
Terengganu,primary,2021,5.06155940675606,103.21224081840644,337534,132839,352,377.38352272727275,393.5573897740672
